id,symbol,exchange_short,exchange_long,instrument_short,instrument_long,entry_spread_pct,peak_spread_pct,exit_spread_pct,entry_price_short,entry_price_long,size_usd,entry_fees_pct,exit_fees_pct,net_pnl_pct,net_pnl_usd,gross_pnl_pct,funding_paid_usd,entry_time,exit_time,exit_reason,duration_min
99,USTCUSDT,Bybit,Bitget,PERP,SPOT,2.4839,3.3916,0.0901,0.00440782615227475,0.004301119956457872,30.61,0.155,0.155,2.194,0.67,2.504,0.0,2026-04-04T18:36:14.511432+00:00,2026-04-04T18:43:54.059372+00:00,dynamic_exit,7.7
100,POLYXUSDT,Gate.io,Binance,PERP,PERP,1.1622,1.5431,1.0645,0.052451139074561615,0.051848756202339405,63.58,0.11,0.11,-0.2092,-0.13,0.0108,0.0,2026-04-04T18:36:24.777279+00:00,2026-04-04T20:36:35.807168+00:00,timeout,120.2
101,POLYXUSDT,Gate.io,Binance,PERP,PERP,1.093,1.5431,1.0645,0.05242604986132563,0.05185947512378142,119.43,0.11,0.11,-0.2781,-0.33,-0.0581,0.0,2026-04-04T18:36:34.267678+00:00,2026-04-04T20:36:36.106735+00:00,timeout,120.0
102,POLYXUSDT,Gate.io,Binance,PERP,PERP,1.0362,1.5431,1.0839,0.05240225283807898,0.0518651585040246,199.58,0.11,0.11,-0.3365,-0.67,-0.1165,0.0,2026-04-04T18:36:45.092128+00:00,2026-04-04T20:36:55.673722+00:00,timeout,120.2
103,STOUSDT,Gate.io,Binance,PERP,PERP,0.9414,1.1727,1.0953,0.26765152470962084,0.2651562211306737,199.58,0.11,0.11,1.3174,2.63,1.5374,0.0,2026-04-04T18:36:45.985476+00:00,2026-04-04T18:38:13.472101+00:00,convergence,1.5
104,POLYXUSDT,Gate.io,MEXC,PERP,PERP,0.9494,1.5814,1.0645,0.05241456583542048,0.05192182426960679,99.64,0.085,0.085,-0.4864,-0.48,-0.3164,0.0,2026-04-04T18:36:47.221688+00:00,2026-04-04T20:36:56.084476+00:00,timeout,120.1
105,BARDUSDT,Bybit,Binance,PERP,PERP,0.8835,1.6831,0.7198,0.30403034753834357,0.30136901113678755,132.55,0.1,0.1,-0.0689,-0.09,0.1311,0.0,2026-04-04T18:36:47.495055+00:00,2026-04-04T20:36:54.604061+00:00,timeout,120.1
106,BARDUSDT,OKX,Binance,PERP,PERP,0.8063,1.2396,0.7525,0.30381395869863287,0.30138530517967066,130.12,0.095,0.095,-0.1694,-0.22,0.0206,0.0,2026-04-04T18:36:47.766024+00:00,2026-04-04T20:36:54.910312+00:00,timeout,120.1
107,POLYXUSDT,Bybit,Binance,PERP,PERP,0.7459,1.0254,0.8058,0.05230007952613574,0.051913056332557675,199.58,0.1,0.1,-0.2913,-0.58,-0.0913,0.0,2026-04-04T18:36:48.509219+00:00,2026-04-04T20:36:56.403741+00:00,timeout,120.1
108,BARDUSDT,Bybit,MEXC,PERP,PERP,0.9034,1.6502,0.7198,0.3039091837272135,0.30118994993334214,175.54,0.075,0.075,0.001,0.0,0.151,0.0,2026-04-04T18:36:49.098898+00:00,2026-04-04T20:36:55.275086+00:00,timeout,120.1
109,WHITEWHALEUSDT,BingX,MEXC,PERP,PERP,0.9714,1.845,0.5916,0.007903309242683763,0.007827334599873541,53.0,0.07,0.07,-0.1737,-0.09,-0.0337,0.0,2026-04-04T18:41:58.700804+00:00,2026-04-04T19:00:28.429895+00:00,dynamic_exit,18.5
110,WHITEWHALEUSDT,BingX,Bybit,PERP,PERP,1.1947,1.6891,0.5916,0.007904711624191714,0.007811426809066595,53.0,0.105,0.105,0.1208,0.06,0.3308,0.0,2026-04-04T18:41:58.987324+00:00,2026-04-04T19:00:28.675415+00:00,dynamic_exit,18.5
111,WHITEWHALEUSDT,BingX,Bybit,PERP,SPOT,1.5684,2.1406,0.0645,0.007904055644800642,0.007782066840503908,53.0,0.15,0.15,0.7856,0.42,1.0856,0.0,2026-04-04T18:41:59.230578+00:00,2026-04-04T20:08:15.303761+00:00,dynamic_exit,86.3
112,POLYXUSDT,Gate.io,Binance,PERP,PERP,1.1789,1.5431,1.0808,0.05247052439428366,0.05185936185511419,126.02,0.11,0.11,-0.2255,-0.28,-0.0055,0.0,2026-04-04T18:41:59.514600+00:00,2026-04-04T20:42:05.467664+00:00,timeout,120.1
113,STOUSDT,Gate.io,BingX,PERP,PERP,1.1004,1.2862,0.2278,0.2644860166014035,0.2616086586298245,71.09,0.115,0.115,0.737,0.52,0.967,0.0,2026-04-04T18:41:59.791184+00:00,2026-04-04T18:42:45.448999+00:00,convergence,0.8
114,POLYXUSDT,Gate.io,BingX,PERP,PERP,0.9624,1.8039,1.1098,0.05245647836190719,0.05195693676744197,36.44,0.115,0.115,-0.6065,-0.22,-0.3765,0.0,2026-04-04T18:42:00.300246+00:00,2026-04-04T20:42:05.784186+00:00,timeout,120.1
115,POLYXUSDT,Gate.io,BingX,PERP,PERP,1.081,1.8039,1.0809,0.052404262960931786,0.05184403836439559,133.1,0.115,0.115,-0.4415,-0.59,-0.2115,0.0,2026-04-04T18:42:27.727501+00:00,2026-04-04T20:42:34.413796+00:00,timeout,120.1
116,WHITEWHALEUSDT,BingX,MEXC,PERP,PERP,1.0411,1.845,0.5916,0.007907905160129215,0.0078264733453556,61.84,0.07,0.07,-0.1501,-0.09,-0.0101,0.0,2026-04-04T18:42:28.296024+00:00,2026-04-04T19:00:29.494739+00:00,dynamic_exit,18.0
117,WHITEWHALEUSDT,BingX,Bybit,PERP,PERP,1.2418,1.6891,0.5916,0.00790854432603318,0.007811583370334014,52.57,0.105,0.105,0.1668,0.09,0.3768,0.0,2026-04-04T18:42:28.521543+00:00,2026-04-04T19:00:29.758842+00:00,dynamic_exit,18.0
118,WHITEWHALEUSDT,BingX,Bybit,PERP,SPOT,1.5779,2.1406,0.0645,0.007908133142667875,0.007785348695749009,89.09,0.15,0.15,0.7944,0.71,1.0944,0.0,2026-04-04T18:42:28.749915+00:00,2026-04-04T20:08:15.562508+00:00,dynamic_exit,85.8
119,VELVETUSDT,BingX,MEXC,PERP,PERP,0.97,1.5847,1.2249,0.0676067148067247,0.066957585377926,11.63,0.07,0.07,-0.6489,-0.08,-0.5089,0.0,2026-04-04T18:42:29.555636+00:00,2026-04-04T20:42:35.227659+00:00,timeout,120.1
120,POLYXUSDT,Gate.io,MEXC,PERP,PERP,1.0244,1.5814,1.1003,0.05239276234678317,0.05186195415856008,10.45,0.085,0.085,-0.3911,-0.04,-0.2211,0.0,2026-04-04T18:42:30.339746+00:00,2026-04-04T20:42:34.840176+00:00,timeout,120.1
